"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",18,"SAU","Saudi Arabia","93.4935",2019,"","Communications andI nformation Technology Commision","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",18,"SAU","Saudi Arabia","94.1844",2020,"","Communications andI nformation Technology Commision","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",18,"SAU","Saudi Arabia","99.3",2021,"","Communications andI nformation Technology Commision","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",18,"SAU","Saudi Arabia","99.79",2022,"","Communications & IT Commission","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",18,"SAU","Saudi Arabia","99.9885",2023,"Results are based on unweighted survey data","Communications & IT Commission","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",25,"AZE","Azerbaijan","70.632",2020,"","State Statistical Committee","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",25,"AZE","Azerbaijan","73.92",2021,"","State Statistical Committee","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",25,"AZE","Azerbaijan","74.4144",2022,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",25,"AZE","Azerbaijan","75.7014",2023,"","State Statistical Committee of the Republic of Azerbaijan","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",34,"BGD","Bangladesh","29.5312",2023,"","Bangladesh Bureau of Statistics","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",35,"BHR","Bahrain","98.0599",2018,"estimated based on 2018 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",35,"BHR","Bahrain","99.5224",2019,"estimated based on 2019 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",35,"BHR","Bahrain","100",2020,"estimated based on 2020 residential survey","Telecommunications Regulatory Authority (TRA)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",35,"BHR","Bahrain","100",2022,"Estimated based on 2022 residential survey","Information and E-Government Authority","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",35,"BHR","Bahrain","100",2023,"Estimated based on 2023 residential survey","TRA bahrain","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",35,"BHR","Bahrain","100",2024,"","TRA bahrain","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",37,"BLR","Belarus","92.2701",2024,"in the last 12 months","National Statistical Committee of the Republic of Belarus (Belstat)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",43,"BRN","Brunei Darussalam","88",2018,"","Authority for Info-communciations Technology Industry of Brunei Darussalam (AITI)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",43,"BRN","Brunei Darussalam","92",2022,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",53,"COL","Colombia","52.1025",2017,"","Departamento Administrativo Nacional de Estadística - DANE","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",53,"COL","Colombia","56.3478",2018,"","Departamento Administrativo Nacional de Estadística - DANE","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",53,"COL","Colombia","65.4674",2021,"","Departamento Administrativo Nacional de Estadística - DANE","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",53,"COL","Colombia","66.0516",2022,"","Departamento Administrativo Nacional de Estadistica (DANE)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",53,"COL","Colombia","69.5578",2023,"","Departamento Administrativo Nacional de Estadistica (DANE)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",61,"CIV","Côte d'Ivoire","28.4083",2019,"","ARTCI","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",61,"CIV","Côte d'Ivoire","38.0964",2022,"","ARTCI","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",61,"CIV","Côte d'Ivoire","39.7431",2023,"","ARTCI","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",71,"DNK","Denmark","85.0754",2020,"","Statistics Denmark","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",72,"DOM","Dominican Rep.","75.3849",2022,"","Oficina Nacional de Estadistica","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",74,"EGY","Egypt","41.9385",2017,"","Central Agency For Public Mobilization And Statistics (CAPMAS)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",74,"EGY","Egypt","44.6479",2018,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",74,"EGY","Egypt","53.6523",2019,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",74,"EGY","Egypt","65.5333",2020,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",74,"EGY","Egypt","63.1389",2022,"","Ministry of Communications and Information Technology","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",75,"ECU","Ecuador","37.2173",2017,"","Instituto Nacional de Estadística y Censos (INEC)","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",75,"ECU","Ecuador","51.4506",2020,"","Instituto Nacional de Estadísticas y Censos - INEC","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
28318,"HHU271sown_HHTotalIndividual","Individuals who own a smart telephone",,"%",75,"ECU","Ecuador","52.1866",2022,"La información corresponde a si, El ( los) teléfono (celular (es) que tiene(…) es/son SMARTPHONE (teléfono Inteligente, se puede comunicar a través de Wi Fi, e mails, red de datos, etc.","Instituto Nacional de Estadistica y Censos","Refers to the proportion of individuals who own a smart telephone. An individual owns a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
